x,y,demand,open,close,servicetime,drone_serve,time
70.0,70.0,0.0,0.0,3598.0,0.0,1,0.0
76.0,65.0,40.0,7.0,647.0,90.0,0,0.39
60.0,66.0,30.0,10.0,650.0,90.0,0,4.78
63.0,103.0,20.0,33.0,673.0,90.0,0,7.33
26.0,24.0,20.0,63.0,703.0,90.0,0,19.53
54.0,102.0,20.0,35.0,675.0,90.0,0,20.96
47.0,36.0,20.0,41.0,681.0,90.0,0,21.59
16.0,90.0,20.0,57.0,697.0,90.0,0,30.8
77.0,15.0,10.0,55.0,695.0,90.0,1,48.29
23.0,22.0,20.0,117.0,757.0,90.0,0,56.06
94.0,18.0,30.0,57.0,697.0,90.0,0,56.8
45.0,68.0,30.0,181.0,821.0,90.0,0,109.43
60.0,111.0,10.0,186.0,826.0,90.0,1,122.98
91.0,91.0,10.0,184.0,824.0,90.0,1,126.82
15.0,23.0,30.0,307.0,947.0,90.0,0,180.66
17.0,25.0,10.0,214.0,854.0,90.0,1,181.9
103.0,12.0,20.0,331.0,971.0,90.0,0,183.37
48.0,72.0,20.0,368.0,1008.0,90.0,0,233.36
49.0,70.0,20.0,276.0,916.0,90.0,0,261.14
100.0,5.0,20.0,428.0,1068.0,90.0,0,289.05
20.0,108.0,10.0,499.0,1139.0,90.0,1,328.41
104.0,82.0,30.0,384.0,1024.0,90.0,0,376.45
62.0,128.0,20.0,473.0,1113.0,90.0,0,382.98
98.0,75.0,10.0,483.0,1123.0,90.0,1,470.64
44.0,82.0,20.0,562.0,1202.0,90.0,0,522.73
11.0,100.0,20.0,693.0,1333.0,90.0,0,553.88
66.0,131.0,10.0,568.0,1208.0,90.0,1,556.62
14.0,107.0,20.0,595.0,1235.0,90.0,0,574.88
12.0,33.0,10.0,591.0,1231.0,90.0,1,576.22
41.0,64.0,20.0,783.0,1423.0,90.0,0,616.22
67.0,123.0,20.0,666.0,1306.0,90.0,0,624.94
111.0,78.0,10.0,781.0,1421.0,90.0,1,646.99
66.0,117.0,30.0,762.0,1402.0,90.0,0,657.88
15.0,30.0,20.0,685.0,1325.0,90.0,0,658.67
101.0,68.0,10.0,677.0,1317.0,90.0,1,660.65
25.0,31.0,20.0,877.0,1517.0,90.0,0,723.18
21.0,28.0,40.0,782.0,1422.0,90.0,0,733.88
116.0,10.0,20.0,916.0,1556.0,90.0,0,758.47
27.0,32.0,20.0,969.0,1609.0,90.0,0,852.32
44.0,62.0,30.0,877.0,1517.0,90.0,0,863.67
25.0,46.0,20.0,1073.0,1713.0,90.0,0,933.85
