x,y,demand,open,close,servicetime,drone_serve,time
70.0,70.0,0.0,0.0,2535.0,0.0,1,0.0
90.0,44.0,6.0,141.0,398.0,10.0,1,0.74
85.0,75.0,37.0,15.0,249.0,10.0,0,7.1
79.0,72.0,22.0,21.0,53.0,10.0,0,7.38
44.0,116.0,27.0,53.0,491.0,10.0,0,11.49
63.0,57.0,10.0,14.0,451.0,10.0,1,13.09
28.0,99.0,10.0,159.0,249.0,10.0,1,13.57
21.0,48.0,10.0,53.0,506.0,10.0,1,13.71
66.0,40.0,20.0,30.0,536.0,10.0,0,14.16
70.0,94.0,32.0,24.0,182.0,10.0,0,14.33
61.0,54.0,10.0,18.0,440.0,10.0,1,14.39
109.0,71.0,20.0,39.0,397.0,10.0,0,15.07
63.0,50.0,10.0,143.0,415.0,10.0,1,20.82
84.0,99.0,20.0,35.0,222.0,10.0,0,23.13
121.0,112.0,20.0,173.0,539.0,10.0,0,24.25
86.0,102.0,10.0,35.0,420.0,10.0,1,26.07
86.0,36.0,20.0,152.0,596.0,10.0,0,26.54
16.0,38.0,20.0,156.0,699.0,10.0,0,29.52
97.0,29.0,30.0,49.0,400.0,10.0,0,31.4
96.0,26.0,10.0,51.0,616.0,10.0,1,32.92
87.0,39.0,20.0,35.0,460.0,10.0,0,33.91
87.0,108.0,20.0,213.0,369.0,10.0,0,37.32
119.0,114.0,20.0,81.0,527.0,10.0,0,39.55
112.0,67.0,10.0,174.0,606.0,10.0,1,56.06
137.0,96.0,9.0,142.0,433.0,10.0,1,76.23
84.0,36.0,10.0,123.0,812.0,10.0,1,89.63
113.0,69.0,20.0,177.0,505.0,10.0,0,93.17
85.0,106.0,20.0,145.0,334.0,10.0,0,102.37
2.0,28.0,10.0,156.0,596.0,10.0,1,102.4
44.0,36.0,9.0,134.0,367.0,10.0,1,127.85
61.0,48.0,20.0,292.0,369.0,10.0,0,166.08
57.0,53.0,10.0,254.0,620.0,10.0,1,169.06
120.0,136.0,10.0,247.0,789.0,10.0,1,173.07
137.0,137.0,27.0,326.0,592.0,10.0,0,174.74
111.0,66.0,20.0,271.0,601.0,10.0,0,176.77
91.0,108.0,10.0,273.0,421.0,10.0,1,194.16
99.0,26.0,40.0,217.0,466.0,10.0,0,203.88
122.0,113.0,20.0,293.0,510.0,10.0,0,215.23
19.0,37.0,20.0,360.0,769.0,10.0,0,229.24
82.0,100.0,18.0,381.0,573.0,10.0,0,273.11
140.0,42.0,13.0,351.0,574.0,10.0,0,290.15
126.0,112.0,10.0,428.0,571.0,10.0,1,296.1
16.0,39.0,20.0,350.0,418.0,10.0,0,297.37
17.0,37.0,30.0,354.0,593.0,10.0,0,299.27
6.0,25.0,10.0,460.0,702.0,10.0,1,324.4
127.0,108.0,10.0,375.0,823.0,10.0,1,329.51
102.0,60.0,30.0,384.0,817.0,10.0,0,339.73
19.0,39.0,10.0,452.0,773.0,10.0,1,342.03
94.0,104.0,10.0,438.0,708.0,10.0,1,350.27
99.0,28.0,30.0,368.0,411.0,10.0,0,353.09
127.0,112.0,20.0,488.0,599.0,10.0,0,360.82
4.0,28.0,10.0,475.0,797.0,10.0,1,374.73
116.0,22.0,32.0,468.0,754.0,10.0,0,382.98
119.0,136.0,30.0,411.0,538.0,10.0,0,386.36
90.0,101.0,10.0,417.0,946.0,10.0,1,408.79
