x,y,demand,open,close,servicetime,drone_serve,time
100.0,100.0,0.0,0.0,804.0,0.0,1,0.0
136.0,12.0,21.0,134.0,144.0,10.0,0,8.54
26.0,41.0,14.0,153.0,163.0,10.0,0,8.7
86.0,69.0,14.0,186.0,196.0,10.0,0,10.35
63.0,141.0,14.0,163.0,173.0,10.0,0,13.45
119.0,113.0,35.0,48.0,58.0,10.0,0,13.99
55.0,100.0,22.0,45.0,55.0,10.0,0,17.77
123.0,90.0,21.0,25.0,35.0,10.0,0,18.34
157.0,142.0,13.0,70.0,80.0,10.0,0,19.29
112.0,174.0,20.0,80.0,90.0,10.0,0,19.63
101.0,127.0,31.0,27.0,37.0,10.0,0,23.36
50.0,31.0,20.0,90.0,100.0,10.0,0,23.61
78.0,72.0,9.0,35.0,45.0,10.0,1,25.9
39.0,186.0,5.0,185.0,195.0,10.0,1,29.01
118.0,117.0,20.0,49.0,59.0,10.0,0,29.95
60.0,153.0,11.0,107.0,117.0,10.0,0,33.2
136.0,90.0,18.0,37.0,47.0,10.0,0,35.32
11.0,118.0,33.0,122.0,132.0,10.0,0,35.42
42.0,174.0,13.0,123.0,133.0,10.0,0,36.85
88.0,152.0,13.0,160.0,170.0,10.0,0,40.71
182.0,110.0,15.0,173.0,183.0,10.0,0,41.62
172.0,186.0,35.0,121.0,131.0,10.0,0,53.64
97.0,192.0,23.0,204.0,214.0,10.0,0,63.79
48.0,106.0,23.0,183.0,193.0,10.0,0,77.15
39.0,151.0,26.0,122.0,132.0,10.0,0,77.64
49.0,99.0,32.0,227.0,237.0,10.0,0,79.56
180.0,66.0,13.0,92.0,102.0,10.0,0,82.77
155.0,22.0,24.0,137.0,147.0,10.0,0,89.87
155.0,17.0,32.0,106.0,116.0,10.0,0,89.99
35.0,9.0,29.0,240.0,250.0,10.0,0,95.85
45.0,95.0,15.0,211.0,221.0,10.0,0,105.03
121.0,48.0,17.0,293.0,303.0,10.0,0,113.91
189.0,83.0,43.0,214.0,224.0,10.0,0,114.11
39.0,112.0,26.0,140.0,150.0,10.0,0,125.59
124.0,191.0,24.0,206.0,216.0,10.0,0,151.15
176.0,58.0,21.0,236.0,246.0,10.0,0,165.72
58.0,19.0,10.0,192.0,202.0,10.0,1,166.64
1.0,54.0,14.0,297.0,307.0,10.0,0,173.9
171.0,69.0,19.0,197.0,207.0,10.0,0,193.08
